date,average_cost,avg_price,bought_quantity,bought_value,market_value,order_book_id,pnl,quantity,sellable,sold_quantity,sold_value,symbol,total_orders,total_trades,transaction_cost,value_percent
2016-06-17,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0.0,平安银行,0,0,0.0,0.0
2016-06-22,9.167,9.167,11400,104498.1,99522.0,000001.XSHE,-4976.1,11400,11400,0,0.0,平安银行,1,1,83.598,1.048
2016-06-23,9.167,9.167,11400,104498.1,98724.0,000001.XSHE,-5774.1,11400,11400,0,0.0,平安银行,1,1,83.598,1.049
2016-06-24,9.167,9.167,11400,104498.1,0.0,000001.XSHE,-11685.0,0,0,11400,92813.1,平安银行,2,2,250.662,0.0
2016-06-29,9.124,9.124,10100,92157.45,87769.0,000001.XSHE,-4388.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.05
2016-06-30,9.124,9.124,10100,92157.45,87870.0,000001.XSHE,-4287.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.05
2016-07-01,9.124,9.124,10100,92157.45,87971.0,000001.XSHE,-4186.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.05
2016-07-04,9.124,9.124,10100,92157.45,88981.0,000001.XSHE,-3176.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-05,9.124,9.124,10100,92157.45,88981.0,000001.XSHE,-3176.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-06,9.124,9.124,10100,92157.45,88777.99,000001.XSHE,-3379.46,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-07,9.124,9.124,10100,92157.45,88678.0,000001.XSHE,-3479.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-08,9.124,9.124,10100,92157.45,88274.0,000001.XSHE,-3883.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.05
2016-07-11,9.124,9.124,10100,92157.45,88375.0,000001.XSHE,-3782.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-12,9.124,9.124,10100,92157.45,89688.0,000001.XSHE,-2469.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.049
2016-07-13,9.124,9.124,10100,92157.45,90799.0,000001.XSHE,-1358.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-14,9.124,9.124,10100,92157.45,90294.0,000001.XSHE,-1863.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-15,9.124,9.124,10100,92157.45,90799.0,000001.XSHE,-1358.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-18,9.124,9.124,10100,92157.45,91302.99,000001.XSHE,-854.46,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-19,9.124,9.124,10100,92157.45,90597.0,000001.XSHE,-1560.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-20,9.124,9.124,10100,92157.45,90496.0,000001.XSHE,-1661.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-21,9.124,9.124,10100,92157.45,90799.0,000001.XSHE,-1358.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-22,9.124,9.124,10100,92157.45,90294.0,000001.XSHE,-1863.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-25,9.124,9.124,10100,92157.45,90698.0,000001.XSHE,-1459.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-26,9.124,9.124,10100,92157.45,92011.0,000001.XSHE,-146.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.047
2016-07-27,9.124,9.124,10100,92157.45,91001.0,000001.XSHE,-1156.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-28,9.124,9.124,10100,92157.45,91708.0,000001.XSHE,-449.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-07-29,9.124,9.124,10100,92157.45,92920.0,000001.XSHE,762.55,10100,10100,0,0.0,平安银行,1,1,73.726,1.047
2016-08-01,9.124,9.124,10100,92157.45,93728.0,000001.XSHE,1570.55,10100,10100,0,0.0,平安银行,1,1,73.726,1.047
2016-08-02,9.124,9.124,10100,92157.45,93425.0,000001.XSHE,1267.55,10100,10100,0,0.0,平安银行,1,1,73.726,1.047
2016-08-03,9.124,9.124,10100,92157.45,92718.0,000001.XSHE,560.55,10100,10100,0,0.0,平安银行,1,1,73.726,1.047
2016-08-04,9.124,9.124,10100,92157.45,90799.0,000001.XSHE,-1358.45,10100,10100,0,0.0,平安银行,1,1,73.726,1.048
2016-08-05,9.124,9.124,10100,92157.45,0.0,000001.XSHE,-5419.61,0,0,10100,86737.84,平安银行,2,2,229.854,0.0
2016-08-12,9.975,9.975,8600,85785.0,81700.0,000001.XSHE,-4085.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-15,9.975,9.975,8600,85785.0,83248.0,000001.XSHE,-2537.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.043
2016-08-16,9.975,9.975,8600,85785.0,81872.0,000001.XSHE,-3913.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-17,9.975,9.975,8600,85785.0,82130.0,000001.XSHE,-3655.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-18,9.975,9.975,8600,85785.0,81700.0,000001.XSHE,-4085.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-19,9.975,9.975,8600,85785.0,81786.0,000001.XSHE,-3999.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-22,9.975,9.975,8600,85785.0,80840.0,000001.XSHE,-4945.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-23,9.975,9.975,8600,85785.0,80840.0,000001.XSHE,-4945.0,8600,8600,0,0.0,平安银行,1,1,68.628,1.044
2016-08-24,9.975,9.975,8600,85785.0,0.0,000001.XSHE,-8741.9,0,0,8600,77043.1,平安银行,2,2,207.306,0.0
2016-10-12,9.586,9.586,8000,76692.0,73040.0,000001.XSHE,-3652.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-13,9.586,9.586,8000,76692.0,72560.0,000001.XSHE,-4132.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-14,9.586,9.586,8000,76692.0,72720.0,000001.XSHE,-3972.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-17,9.586,9.586,8000,76692.0,72400.0,000001.XSHE,-4292.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.048
2016-10-18,9.586,9.586,8000,76692.0,72720.0,000001.XSHE,-3972.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-19,9.586,9.586,8000,76692.0,72640.0,000001.XSHE,-4052.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-20,9.586,9.586,8000,76692.0,72560.0,000001.XSHE,-4132.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-21,9.586,9.586,8000,76692.0,73040.0,000001.XSHE,-3652.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-24,9.586,9.586,8000,76692.0,73920.0,000001.XSHE,-2772.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-25,9.586,9.586,8000,76692.0,73680.0,000001.XSHE,-3012.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-26,9.586,9.586,8000,76692.0,73200.0,000001.XSHE,-3492.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-27,9.586,9.586,8000,76692.0,73280.0,000001.XSHE,-3412.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-28,9.586,9.586,8000,76692.0,73360.0,000001.XSHE,-3332.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-10-31,9.586,9.586,8000,76692.0,73200.0,000001.XSHE,-3492.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-01,9.586,9.586,8000,76692.0,73120.0,000001.XSHE,-3572.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-02,9.586,9.586,8000,76692.0,72560.0,000001.XSHE,-4132.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-03,9.586,9.586,8000,76692.0,73040.0,000001.XSHE,-3652.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-04,9.586,9.586,8000,76692.0,72880.0,000001.XSHE,-3812.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-07,9.586,9.586,8000,76692.0,72959.2,000001.XSHE,-3732.8,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-08,9.586,9.586,8000,76692.0,73200.0,000001.XSHE,-3492.0,8000,8000,0,0.0,平安银行,1,1,61.354,1.047
2016-11-09,9.586,9.586,8000,76692.0,0.0,000001.XSHE,-7760.0,0,0,8000,68932.0,平安银行,2,2,185.431,0.0
2016-11-10,9.597,9.597,7100,68138.7,64894.0,000001.XSHE,-3244.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-11,9.597,9.597,7100,68138.7,65178.0,000001.XSHE,-2960.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-14,9.597,9.597,7100,68138.7,65462.0,000001.XSHE,-2676.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-15,9.597,9.597,7100,68138.7,65533.0,000001.XSHE,-2605.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-16,9.597,9.597,7100,68138.7,65533.0,000001.XSHE,-2605.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-17,9.597,9.597,7100,68138.7,65391.0,000001.XSHE,-2747.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-18,9.597,9.597,7100,68138.7,65178.0,000001.XSHE,-2960.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.043
2016-11-21,9.597,9.597,7100,68138.7,65604.0,000001.XSHE,-2534.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.042
2016-11-22,9.597,9.597,7100,68138.7,66456.0,000001.XSHE,-1682.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.042
2016-11-23,9.597,9.597,7100,68138.7,67095.0,000001.XSHE,-1043.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-11-24,9.597,9.597,7100,68138.7,67237.0,000001.XSHE,-901.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-11-25,9.597,9.597,7100,68138.7,68301.29,000001.XSHE,162.59,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-11-28,9.597,9.597,7100,68138.7,68373.0,000001.XSHE,234.3,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-11-29,9.597,9.597,7100,68138.7,68301.29,000001.XSHE,162.59,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-11-30,9.597,9.597,7100,68138.7,67805.0,000001.XSHE,-333.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-12-01,9.597,9.597,7100,68138.7,68160.0,000001.XSHE,21.3,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-12-02,9.597,9.597,7100,68138.7,67805.0,000001.XSHE,-333.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-12-05,9.597,9.597,7100,68138.7,67166.0,000001.XSHE,-972.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-12-06,9.597,9.597,7100,68138.7,67379.0,000001.XSHE,-759.7,7100,7100,0,0.0,平安银行,1,1,54.511,1.041
2016-12-07,9.597,9.597,7100,68138.7,0.0,000001.XSHE,-4196.1,0,0,7100,63942.6,平安银行,2,2,169.608,0.0
